code,disc_date,disc_time,disc_no,doc_type,per_type,fy_end,equity,np_forecast,shares_out
1808,2017-11-10,14:30,20171109413660,2QFinancialStatements_Consolidated_JP,2Q,2018-03-31,257459000000,66000000000,300794397
1808,2018-02-09,15:00,20180208467154,3QFinancialStatements_Consolidated_JP,3Q,2018-03-31,269412000000,66000000000,300794397
1808,2018-03-15,15:00,20180314489451,EarnForecastRevision,FY,2018-03-31,,70000000000,
1808,2018-05-11,14:40:00,20180510434197,FYFinancialStatements_Consolidated_JP,FY,2018-03-31,296835000000,75000000000,300794397
1808,2018-08-09,15:00:00,20180808494524,1QFinancialStatements_Consolidated_JP,1Q,2019-03-31,300558000000,75000000000,300794397
1808,2018-11-09,14:30:00,20181108432698,2QFinancialStatements_Consolidated_JP,2Q,2019-03-31,330603000000,75000000000,300794397
1808,2019-02-08,15:00:00,20190206471678,3QFinancialStatements_Consolidated_JP,3Q,2019-03-31,344574000000,82000000000,300794397
1808,2019-02-08,15:00:00,20190207472152,EarnForecastRevision,FY,2019-03-31,,,
1808,2019-05-10,14:40:00,20190509418145,FYFinancialStatements_Consolidated_JP,FY,2019-03-31,368051000000,60000000000,300794397
1808,2019-08-08,15:00:00,20190806483640,1QFinancialStatements_Consolidated_JP,1Q,2020-03-31,357872000000,60000000000,300794397
1808,2019-11-08,14:40:00,20191107421525,2QFinancialStatements_Consolidated_JP,2Q,2020-03-31,375270000000,60000000000,300794397
1808,2020-02-07,15:00:00,20200206458841,3QFinancialStatements_Consolidated_JP,3Q,2020-03-31,380157000000,60000000000,300794397
1808,2020-02-28,14:00:00,20200227470618,DividendForecastRevision,FY,2020-03-31,,,
1808,2020-05-14,14:40:00,20200513412733,FYFinancialStatements_Consolidated_JP,FY,2020-03-31,387682000000,49000000000,300794397
1808,2020-08-06,15:00:00,20200805475240,1QFinancialStatements_Consolidated_JP,1Q,2021-03-31,376921000000,49000000000,300794397
1808,2020-11-12,14:40:00,20201111421748,2QFinancialStatements_Consolidated_JP,2Q,2021-03-31,387755000000,49000000000,300794397
1808,2021-02-10,15:00:00,20210209459910,3QFinancialStatements_Consolidated_JP,3Q,2021-03-31,382647000000,49000000000,300794397
1808,2021-05-13,15:00:00,20210512414528,FYFinancialStatements_Consolidated_JP,FY,2021-03-31,394365000000,51000000000,300794397
1808,2021-08-06,15:00:00,20210805480301,1QFinancialStatements_Consolidated_JP,1Q,2022-03-31,387418000000,51000000000,300794397
1808,2021-11-11,15:00:00,20211110430472,2QFinancialStatements_Consolidated_JP,2Q,2022-03-31,401513000000,51000000000,300794397
1808,2022-02-10,15:00:00,20220208583660,3QFinancialStatements_Consolidated_JP,3Q,2022-03-31,403686000000,51000000000,300794397
1808,2022-05-12,15:30:00,20220511540651,FYFinancialStatements_Consolidated_JP,FY,2022-03-31,417667000000,57000000000,300794397
1808,2022-08-10,15:00:00,20220809516176,1QFinancialStatements_Consolidated_JP,1Q,2023-03-31,422792000000,57000000000,300794397
1808,2022-11-10,15:00:00,20221109561147,2QFinancialStatements_Consolidated_JP,2Q,2023-03-31,441139000000,57000000000,300794397
1808,2023-02-09,15:00:00,20230208503908,3QFinancialStatements_Consolidated_JP,3Q,2023-03-31,446928000000,57000000000,300794397
1808,2023-05-11,16:30:00,20230510564208,FYFinancialStatements_Consolidated_JP,FY,2023-03-31,454088000000,55500000000,300794397
1808,2023-08-09,15:00:00,20230731530644,1QFinancialStatements_Consolidated_JP,1Q,2024-03-31,461731000000,55500000000,300794397
1808,2023-11-10,15:00:00,20231109583580,2QFinancialStatements_Consolidated_JP,2Q,2024-03-31,484597000000,55500000000,300794397
1808,2024-02-09,15:00:00,20240208530194,3QFinancialStatements_Consolidated_JP,3Q,2024-03-31,488836000000,55500000000,300794397
1808,2024-05-10,15:00:00,20240509587351,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,511246000000,53000000000,300794397
1808,2024-05-13,15:00:00,20240510590795,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,511246000000,53000000000,300794397
1808,2024-08-08,15:00:00,20240802561414,1QFinancialStatements_Consolidated_JP,1Q,2025-03-31,514140000000,53000000000,300794397
1808,2024-11-12,15:30:00,20241029505367,2QFinancialStatements_Consolidated_JP,2Q,2025-03-31,529958000000,53000000000,300794397
1808,2025-02-13,15:30:00,20250212570229,3QFinancialStatements_Consolidated_JP,3Q,2025-03-31,505390000000,30000000000,300794397
1808,2025-05-14,15:30:00,20250514548667,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,532033000000,55000000000,300794397
1808,2025-08-07,15:30:00,20250806532162,1QFinancialStatements_Consolidated_JP,1Q,2026-03-31,526600000000,55000000000,300794397
1808,2025-11-12,15:30:00,20251111595557,2QFinancialStatements_Consolidated_JP,2Q,2026-03-31,527410000000,58000000000,300794397
