date,available_cash,pending_cash,locked_capital,open_positions,equity
2026-02-13,6831.95879834,0.00000000,275332.57500000,1,282164.53379834
2026-02-16,6831.95879834,271968.38500000,0.00000000,0,278800.34379834
2026-02-17,6618.71379834,0.00000000,272181.63000000,1,278800.34379834
2026-02-18,6618.71379834,274817.53000000,0.00000000,0,281436.24379834
2026-02-19,281436.24379834,0.00000000,0.00000000,0,281436.24379834
2026-02-20,1181.26090368,0.00000000,280254.98289466,1,281436.24379834
2026-02-24,1181.26090368,278841.19607230,0.00000000,0,280022.45697598
2026-02-25,228.12597466,0.00000000,279794.33100132,1,280022.45697598
2026-02-26,228.12597466,277369.86782794,0.00000000,0,277597.99380260
2026-02-27,507.03427320,0.00000000,277090.95952940,1,277597.99380260
2026-03-02,507.03427320,295897.44460702,0.00000000,0,296404.47888022
2026-03-03,1451.43648553,0.00000000,294953.04239469,1,296404.47888022
2026-03-04,1451.43648553,279925.18488454,0.00000000,0,281376.62137007
2026-03-05,1175.19825287,0.00000000,280201.42311720,1,281376.62137007
2026-03-06,1175.19825287,281512.58338112,0.00000000,0,282687.78163399
2026-03-09,385.88834662,0.00000000,282301.89328737,1,282687.78163399
2026-03-10,385.88834662,290648.63971410,0.00000000,0,291034.52806072
2026-03-11,38908.91306072,0.00000000,252125.61500000,1,291034.52806072
2026-03-12,38908.91306072,247225.81000000,0.00000000,0,286134.72306072
2026-03-13,1198.47998504,0.00000000,284936.24307568,1,286134.72306072
2026-03-16,1198.47998504,289379.56632816,0.00000000,0,290578.04631320
2026-03-17,46154.74131320,0.00000000,244423.30500000,1,290578.04631320
2026-03-18,46154.74131320,254173.72500000,0.00000000,0,300328.46631320
2026-03-19,1176.22450670,0.00000000,299152.24180650,1,300328.46631320
2026-03-23,1176.22450670,283910.43508362,0.00000000,0,285086.65959032
2026-03-24,936.04700860,0.00000000,284150.61258172,1,285086.65959032
2026-03-25,936.04700860,285282.82367489,0.00000000,0,286218.87068349
2026-03-26,540.29692755,0.00000000,285678.57375594,1,286218.87068349
2026-03-27,540.29692755,291917.39850000,0.00000000,0,292457.69542755
2026-03-30,59.31368274,0.00000000,292398.38174481,1,292457.69542755
2026-03-31,59.31368274,288374.27321580,0.00000000,0,288433.58689854
2026-04-01,1067.40289854,0.00000000,287366.18400000,1,288433.58689854
2026-04-02,1067.40289854,285066.45440000,0.00000000,0,286133.85729854
2026-04-03,928.32129854,0.00000000,285205.53600000,1,286133.85729854
2026-04-06,928.32129854,288993.27600000,0.00000000,0,289921.59729854
2026-04-07,885.41629469,0.00000000,289036.18100385,1,289921.59729854
2026-04-08,885.41629469,316322.57475000,0.00000000,0,317207.99104469
2026-04-09,17952.24124469,0.00000000,299255.74980000,1,317207.99104469
2026-04-10,17952.24124469,289987.79922900,0.00000000,0,307940.04047369
2026-04-13,8166.13527369,0.00000000,299773.90520000,1,307940.04047369
2026-04-14,8166.13527369,298085.34004172,0.00000000,0,306251.47531541
2026-04-15,8098.05611541,0.00000000,298153.41920000,1,306251.47531541
2026-04-16,8098.05611541,306344.06920000,0.00000000,0,314442.12531541
2026-04-17,22404.54031541,0.00000000,292037.58500000,1,314442.12531541
2026-04-20,22404.54031541,286763.94500000,0.00000000,0,309168.48531541
2026-04-21,9366.57171541,0.00000000,299801.91360000,1,309168.48531541
2026-04-22,9366.57171541,294048.75890000,0.00000000,0,303415.33061541
2026-04-23,4367.64321541,0.00000000,299047.68740000,1,303415.33061541
2026-04-24,4367.64321541,294750.04845000,0.00000000,0,299117.69166541
2026-04-27,187.24743517,0.00000000,298930.44423024,1,299117.69166541
2026-04-28,187.24743517,301112.03527840,0.00000000,0,301299.28271357
2026-04-30,1569.39071357,290447.25724476,0.00000000,0,292016.64795833
2026-05-01,57.09417273,0.00000000,291959.55378560,1,292016.64795833
2026-05-07,57.09417273,298662.36658880,0.00000000,0,298719.46076153
2026-05-08,210.22696387,0.00000000,298509.23379766,1,298719.46076153
2026-05-11,210.22696387,299428.04068940,0.00000000,0,299638.26765327
2026-05-12,1008.70565327,0.00000000,298629.56200000,1,299638.26765327
2026-05-13,1008.70565327,297240.80100000,0.00000000,0,298249.50665327
2026-05-14,458.19605327,288568.71371094,0.00000000,0,289026.90976421
2026-05-15,81.25206421,0.00000000,288945.65770000,1,289026.90976421
2026-05-18,81.25206421,286452.03860000,0.00000000,0,286533.29066421
2026-05-19,125.89931606,277537.35444200,0.00000000,0,277663.25375806
2026-05-20,277663.25375806,0.00000000,0.00000000,0,277663.25375806
